Date,Open,High,Low,Close,Volume
2/4/2016,580.025024,597.474976,580.025024,514.494934,5549346
2/5/2016,587.75,593.325012,585.924988,512.292542,3984224
2/8/2016,581.875,586.099976,571.900024,501.86972,4221044
2/9/2016,564.150024,564.150024,546.75,483.051758,7579572
2/10/2016,554,563.75,552.5,483.444244,5866054
2/11/2016,555.5,556.5,535.575012,470.404694,5214378
2/12/2016,547.349976,552.200012,533.5,473.021301,7408096
2/15/2016,548.125,550.099976,543.299988,476.117676,5093478
2/16/2016,543.5,546.375,536.849976,470.622711,5125448
2/17/2016,540.875,551.5,538.5,478.777893,4164598
2/18/2016,550,563.5,550,489.92038,4189072
2/19/2016,559.599976,567.099976,556.924988,491.599365,3974018
2/22/2016,565.5,566.974976,557.025024,491.337738,3857010
2/23/2016,565.125,566.25,558.025024,490.138367,2501960
2/24/2016,559.75,571.875,559.174988,490.770813,4950714
2/25/2016,562.700012,565.299988,550.549988,484.207367,4484528
2/26/2016,560.075012,566,558,488.939148,4235636
2/29/2016,564.75,565.200012,534.150024,472.759644,8166076
3/1/2016,547.400024,565.150024,547.400024,490.814453,6386154
3/2/2016,568.525024,581.75,562.5,504.13736,7214898
3/3/2016,584,596.424988,577,509.937592,5814304
3/4/2016,587.799988,592.5,579.549988,510.526337,4281680
3/8/2016,581.5,595.25,573.700012,507.386292,7617746
3/9/2016,572.5,591.875,571.474976,513.949768,6305782
3/10/2016,581.450012,581.450012,569.674988,498.249908,24381016
3/11/2016,573.099976,577.974976,569.099976,498.467987,4058548
3/14/2016,573,577.125,569.25,497.683044,4174262
3/15/2016,572,577.25,564.474976,494.717499,6720258
3/16/2016,570.950012,577.5,565.775024,502.589172,5588850
3/17/2016,578.450012,584.875,577.025024,506.644958,6474622
3/18/2016,581.400024,599.5,581,520.447815,8477422
3/21/2016,594,599.5,590.025024,521.101929,5138392
3/22/2016,595.625,597,586,518.943176,7097950
3/23/2016,595,605.349976,591.049988,526.727722,6333176
3/28/2016,616.200012,618.5,597.875,525.462891,10787510
3/29/2016,599.5,609.450012,595.775024,522.12677,6995356
3/30/2016,598.799988,605,597.775024,525.920837,5756818
3/31/2016,605.125,614.950012,600.150024,531.306763,17996320
4/1/2016,608,611.099976,597.549988,525.702698,5511428
4/4/2016,606.775024,624,606.775024,542.38385,4577054
4/5/2016,621,621.150024,607,531.960938,4790716
4/6/2016,614,614,598,523.631287,4931354
4/7/2016,604.200012,604.200012,587.5,515.258118,5657890
4/8/2016,587.924988,588.75,581.025024,508.389404,4195578
4/11/2016,582.900024,593.375,575.549988,516.304688,5768678
4/12/2016,590.25,597.450012,589.299988,515.563354,5842138
4/13/2016,597.474976,597.474976,583.174988,511.420349,12511386
4/18/2016,625,633.950012,616.75,540.203308,25015990
4/20/2016,622,623.224976,612.900024,542.34021,8072848
4/21/2016,625.5,625.5,609.049988,534.795593,5441100
4/22/2016,613.150024,614.25,603.5,528.232239,5143938
4/25/2016,606.025024,612.400024,600.549988,530.238281,5364134
4/26/2016,607.724976,619.775024,604.299988,537.346802,5846744
4/27/2016,614.599976,621.174988,614.275024,540.835632,4486208
4/28/2016,615.5,619.799988,603.5,527.316406,12165168
4/29/2016,605.724976,611.775024,602.5,526.858459,5036410
5/2/2016,605,605.575012,598.075012,523.783936,3615250
5/3/2016,601.375,606.099976,585.900024,513.644409,6824810
5/4/2016,590.5,596.5,585.325012,518.463562,5812842
5/5/2016,597.575012,599.5,590.549988,520.033447,6302668
5/6/2016,594.900024,594.900024,588.525024,515.258118,2596720
